"record_id","drug_name","drugbank_id","pubchem_id"
"BiomarkerKG1662110747","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG1662110747","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG1662110747","INCMGA00012","NA"," NA"
"BiomarkerKG-9935330","AVELUMAB","DB11945","NA"
"BiomarkerKG-9935330","UTOMILUMAB","DB15113"," NA"
"BiomarkerKG1850261349","CYCLOPHOSPHAMIDE","DB00531","2907"
"BiomarkerKG1850261349","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG1850261349","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1535116097","MARGETUXIMAB","DB14967","NA"
"BiomarkerKG-1535116097","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG-1535116097","ERIBULIN","DB08871"," 17755248"
"BiomarkerKG-1535116097","GEMCITABINE","DB00441"," 60750"
"BiomarkerKG-1535116097","VINORELBINE","DB00361"," 5311497"
"BiomarkerKG-800062053","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-800062053","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-800062053","TAMOXIFEN","DB00675"," 2733526"
"BiomarkerKG-2005931595","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG-2005931595","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-2005931595","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-2005931595","TRASTUZUMAB EMTANSINE","DB05773"," NA"
"BiomarkerKG-2005931595","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG-2005931595","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG992071428","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG992071428","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG992071428","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-770749269","ICOTINIB","DB11737","44609731"
"BiomarkerKG-94465509","METFORMIN","DB00331","14219"
"BiomarkerKG-94465509","TOREMIFENE","DB00539"," 3005573"
"BiomarkerKG-94465509","MELATONIN","DB01065"," 896"
"BiomarkerKG29199886","TALAZOPARIB TOSYLATE",\N,"135565654"
"BiomarkerKG1906523027","TASELISIB","DB12108","51001932"
"BiomarkerKG1906523027","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-413287604","LETROZOLE","DB01006","3902"
"BiomarkerKG-413287604","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG1514699161","NIVOLUMAB","DB09035","NA"
"BiomarkerKG1514699161","IPILIMUMAB","DB06186"," NA"
"BiomarkerKG-1435553749","IMIPRAMINE","DB00458","8228"
"BiomarkerKG-1899271805","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-1899271805","LETROZOLE","DB01006"," 3902"
"BiomarkerKG809776760","PYROTINIB","DB14993","51039030"
"BiomarkerKG809776760","ETOPOSIDE","DB00773"," 36462"
"BiomarkerKG-1915782920","DOCETAXEL","DB01248","148124"
"BiomarkerKG-1915782920","RITONAVIR","DB00503"," 392622"
"BiomarkerKG-156769428","DURVALUMAB","DB11714","NA"
"BiomarkerKG-156769428","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-156769428","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-1013990068","PACLITAXEL","DB01229","36314"
"BiomarkerKG-1013990068","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1013990068","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-1013990068","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-447481596","ONAPRISTONE","DB12637","5311505"
"BiomarkerKG-859329038","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG-859329038","PEGYLATED LIPOSOMAL DOXORUBICIN","NA"," NA"
"BiomarkerKG687053448","PYROTINIB","DB14993","51039030"
"BiomarkerKG687053448","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG-889764113","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG-889764113","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-103720969","PYROTINIB","DB14993","51039030"
"BiomarkerKG-103720969","ALBUMIN-BOUND PACLITAXEL","NA"," NA"
"BiomarkerKG-103720969","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-103720969","EPRIRUBICIN","NA"," NA"
"BiomarkerKG-103720969","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG1827935371","LETROZOLE","DB01006","3902"
"BiomarkerKG1827935371","PYROTINIB","DB14993"," 51039030"
"BiomarkerKG1827935371","SHR6390","NA"," NA"
"BiomarkerKG1686449390","CAPECITABINE","DB01101","60953"
"BiomarkerKG-435072881","DOCETAXEL","DB01248","148124"
"BiomarkerKG-435072881","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-435072881","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-316459000","IPATASERTIB","DB11743","24788740"
"BiomarkerKG-316459000","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG-316459000","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG1503939067","ERIBULIN","DB08871","17755248"
"BiomarkerKG1503939067","BALIXAFORTIDE","DB15370"," 138752609"
"BiomarkerKG-2032842044","VENETOCLAX","DB11581","49846579"
"BiomarkerKG-2032842044","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG-2032842044","LETROZOLE","DB01006"," 3902"
"BiomarkerKG1935542298","METFORMIN","DB00331","14219"
"BiomarkerKG276424285","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG276424285","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG276424285","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG276424285","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG276424285","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG276424285","TRASTUZUMAB EMTANSINE","DB05773"," NA"
"BiomarkerKG1623818552","FS-1502",\N,"2760428"
"BiomarkerKG-627703212","IPI-549","NA","91933883"
"BiomarkerKG-627703212","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG-627703212","NAB-PACLITAXEL","NA"," 36314"
"BiomarkerKG-1795461556","ALL-TRANS RETINOIC ACID","NA","444795"
"BiomarkerKG-1795461556","ANASTROZOLE","DB01217"," 2187"
"BiomarkerKG1649159632","PYROTINIB","DB14993","51039030"
"BiomarkerKG1649159632","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG-1239420556","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-1239420556","IPILIMUMAB","DB06186"," NA"
"BiomarkerKG-1239420556","BICALUTAMIDE","DB01128"," 56069"
"BiomarkerKG-2135616330","NAB-PACLITAXEL","NA","36314"
"BiomarkerKG-2135616330","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-2135616330","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG2061889424","RIBOCICLIB","DB11730","44631912"
"BiomarkerKG2061889424","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG2061889424","LETROZOLE","DB01006"," 3902"
"BiomarkerKG905609745","LETROZOLE","DB01006","3902"
"BiomarkerKG905609745","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG345427327","PYROTINIB","DB14993","51039030"
"BiomarkerKG345427327","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG345427327","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG345427327","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG702885081","COPANLISIB","DB12483","135565785"
"BiomarkerKG702885081","TRASTUZUMAB EMTANSINE","DB05773"," NA"
"BiomarkerKG-1430355371","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG-1430355371","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG-1139236655","DURVALUMAB","DB11714","NA"
"BiomarkerKG-1139236655","OLAPARIB","DB09074"," 23725625"
"BiomarkerKG-1139236655","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG1505390240","PYROTINIB MALEATE","NA","138115215"
"BiomarkerKG1505390240","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG729598124","PYROTINIB MALEATE","NA","138115215"
"BiomarkerKG729598124","ALBUMIN PACLITAXEL","NA"," NA"
"BiomarkerKG729598124","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1616092040","OLAPARIB","DB09074","23725625"
"BiomarkerKG-226063560","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-226063560","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-601099740","PYROTINIB","DB14993","51039030"
"BiomarkerKG-601099740","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-601099740","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG-274333150","SACITUZUMAB GOVITECAN","DB12893","91668186"
"BiomarkerKG921194961","NERATINIB","DB11828","9915743"
"BiomarkerKG921194961","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG921194961","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-1540813963","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-1540813963","BOSUTINIB","DB06616"," 5328940"
"BiomarkerKG-1540813963","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG1068866669","LERONLIMAB","DB05941","NA"
"BiomarkerKG1068866669","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-1471164927","LY3023414","NA","57519748"
"BiomarkerKG-1471164927","PREXASERTIB","DB12008"," 46700756"
"BiomarkerKG-57313394","NAB-PACLITAXEL","NA","36314"
"BiomarkerKG-57313394","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-57313394","EPIRUBICIN","DB00445"," 65348"
"BiomarkerKG-57313394","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-617297347","ABEMACICLIB","DB12001","46220502"
"BiomarkerKG-617297347","COPANLISIB","DB12483"," 135565785"
"BiomarkerKG-617297347","COPANLISIB HYDROCHLORIDE","NA"," 135565785"
"BiomarkerKG-617297347","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-891847787","PYROTINIB MALEATE","NA","138115215"
"BiomarkerKG-891847787","ALBUMIN PACLITAXEL","NA"," NA"
"BiomarkerKG-891847787","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-891847787","EPIRUBICIN HYDROCHLORIDE","NA"," 65348"
"BiomarkerKG-891847787","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG1568508684","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG1568508684","LENVATINIB","DB09078"," 11237762"
"BiomarkerKG551843489","9-ING-41","NA","44582816"
"BiomarkerKG551843489","GEMCITABINE","DB00441"," 60750"
"BiomarkerKG551843489","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG551843489","LOMUSTINE","DB01206"," 3950"
"BiomarkerKG551843489","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG551843489","NAB PACLITAXEL","NA"," 36314"
"BiomarkerKG551843489","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG551843489","IRINOTECAN","DB00762"," 60838"
"BiomarkerKG1477271139","NAPTUMOMAB ESTAFENATOX","DB12807","NA"
"BiomarkerKG1477271139","DURVALUMAB","DB11714"," NA"
"BiomarkerKG285317920","NAPTUMOMAB ESTAFENATOX","DB12807","NA"
"BiomarkerKG285317920","DURVALUMAB","DB11714"," NA"
"BiomarkerKG-482905584","REBASTINIB","DB13005","25066467"
"BiomarkerKG-482905584","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG627952349","VINORELBINE","DB00361","5311497"
"BiomarkerKG627952349","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG627952349","GEMCITABINE","DB00441"," 60750"
"BiomarkerKG-1661914186","PYROTINIB","DB14993","51039030"
"BiomarkerKG-1661914186","SHR6390","NA"," NA"
"BiomarkerKG-1661914186","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-1814161762","PYROTINIB","DB14993","51039030"
"BiomarkerKG-1814161762","SHR6390","NA"," NA"
"BiomarkerKG-1814161762","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG-437004938","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG-437004938","IPATASERTIB","DB11743"," 24788740"
"BiomarkerKG-437004938","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1110084195","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-1110084195","ABEMACICLIB","DB12001"," 46220502"
"BiomarkerKG-1110084195","ANASTROZOLE","DB01217"," 2187"
"BiomarkerKG-1110084195","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG1364396589","NIVOLUMAB","DB09035","NA"
"BiomarkerKG1364396589","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-1448510916","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-1448510916","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1448510916","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-1448510916","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-2022083316","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-2022083316","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-2022083316","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-2022083316","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-2022083316","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-2022083316","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG356324322","ABEMACICLIB","DB12001","46220502"
"BiomarkerKG356324322","DURVALUMAB","DB11714"," NA"
"BiomarkerKG356324322","AROMATASE INHIBITOR","NA"," NA"
"BiomarkerKG-104675348","PACLITAXEL","DB01229","36314"
"BiomarkerKG-104675348","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-104675348","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-1384231495","RIBOCICLIB","DB11730","44631912"
"BiomarkerKG-1384231495","ENDOCRINE THERAPY","NA"," NA"
"BiomarkerKG34334946","ENTINOSTAT","DB11841","4261"
"BiomarkerKG34334946","CAPECITABINE","DB01101"," 60953"
"BiomarkerKG1946912801","TALAZOPARIB","DB11760","135565082"
"BiomarkerKG1946912801","SACITUZUMAB GOVITECAN","DB12893"," 91668186"
"BiomarkerKG-1577117464","TRASTUZUMAB","DB00072","3001322"
"BiomarkerKG-1577117464","GDC-0084","DB15186"," 57384863"
"BiomarkerKG-2085566364","ASPIRIN","DB00945","2244"
"BiomarkerKG-2085566364","TAMOXIFEN","DB00675"," 2733526"
"BiomarkerKG-2085566364","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-2085566364","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-2085566364","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1494023734","NIVOLUMAB","DB09035","NA"
"BiomarkerKG-1494023734","IPILIMUMAB","DB06186"," NA"
"BiomarkerKG1251372237","SIMVASTATIN","DB00641","54454"
"BiomarkerKG-153611909","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG-153611909","TAMOXIFEN","DB00675"," 2733526"
"BiomarkerKG351003137","APATINIB","DB14765","45139106"
"BiomarkerKG351003137","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG351003137","CISPLATIN","DB00515"," 135804801"
"BiomarkerKG-1579678160","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG118603023","DOCETAXEL","DB01248","148124"
"BiomarkerKG118603023","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG118603023","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG118603023","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG118603023","EPIRUBICIN","DB00445"," 65348"
"BiomarkerKG118603023","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG118603023","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG118603023","TRASTUZUMAB EMTANSINE","DB05773"," NA"
"BiomarkerKG1189074014","OLAPARIB","DB09074","23725625"
"BiomarkerKG1189074014","VORINOSTAT","DB02546"," 5311"
"BiomarkerKG-388096993","NIRAPARIB","DB11793","24958200"
"BiomarkerKG-388096993","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG1874182044","DOCETAXEL","DB01248","148124"
"BiomarkerKG1874182044","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG1874182044","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG1874182044","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-1495583654","TALAZOPARIB","DB11760","135565082"
"BiomarkerKG-1495583654","AVELUMAB","DB11945"," NA"
"BiomarkerKG2087957969","NIVOLUMAB","DB09035","NA"
"BiomarkerKG2087957969","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG2087957969","ANTHRACYCLINE","NA"," NA"
"BiomarkerKG2087957969","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG2087957969","ENDOCRINE THERAPY","NA"," NA"
"BiomarkerKG1644765431","RUCAPARIB","DB12332","9931954"
"BiomarkerKG-262451806","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-262451806","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-262451806","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-262451806","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-1083648118","ERIBULIN","DB08871","17755248"
"BiomarkerKG-225817822","RIBOCICLIB","DB11730","44631912"
"BiomarkerKG-225817822","LETROZOLE OR ANASTROZOLE","NA"," NA"
"BiomarkerKG-225817822","GOSERELIN","DB00014"," 5311128"
"BiomarkerKG-2009160467","IPILIMUMAB","DB06186","NA"
"BiomarkerKG-2009160467","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-2103591184","METFORMIN HYDROCHLORIDE","NA","14219"
"BiomarkerKG-2103591184","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-2103591184","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-2103591184","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1723002468","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG-1723002468","EXEMESTANE","DB00990"," 60198"
"BiomarkerKG-1723002468","GOSERELIN","DB00014"," 5311128"
"BiomarkerKG-604627963","RIBOCICLIB","DB11730","44631912"
"BiomarkerKG-604627963","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-1030601521","ERIBULIN","DB08871","17755248"
"BiomarkerKG-1030601521","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG138689674","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG138689674","TRASTUZUMAB BIOSIMILAR ABP 980","NA"," NA"
"BiomarkerKG138689674","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG397892956","CFI-400945","NA","58486178"
"BiomarkerKG397892956","DURVALUMAB","DB11714"," NA"
"BiomarkerKG721208190","RIBOCICLIB","DB11730","44631912"
"BiomarkerKG721208190","LETROZOLE OR ANASTROZOLE","NA"," NA"
"BiomarkerKG721208190","GOSERELIN","DB00014"," 5311128"
"BiomarkerKG1288315268","CHIDAMIDE","DB06334","9800555"
"BiomarkerKG1288315268","CISPLATIN","DB00515"," 135804801"
"BiomarkerKG-2056951534","PYROTINIB","DB14993","51039030"
"BiomarkerKG-2056951534","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-1897970195","LASOFOXIFENE","DB06202","216416"
"BiomarkerKG996483862","OLAPARIB","DB09074","23725625"
"BiomarkerKG996483862","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1884678499","ABEMACICLIB","DB12001","46220502"
"BiomarkerKG-1884678499","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG1863117410","PEMBROLIZUMAB","DB09037",\N
"BiomarkerKG907159947","GOSERELIN","DB00014","5311128"
"BiomarkerKG289580844","PYROTINIB","DB14993","51039030"
"BiomarkerKG289580844","VINORELBINE","DB00361"," 5311497"
"BiomarkerKG1360761977","DURVALUMAB","DB11714","NA"
"BiomarkerKG1360761977","ENDOCRINE THERAPY","NA"," NA"
"BiomarkerKG1586324685","LYNPARZA",\N,"23725625"
"BiomarkerKG-1645794555","VINORELBINE","DB00361","5311497"
"BiomarkerKG-1645794555","APATINIB","DB14765"," 45139106"
"BiomarkerKG-1304175737","ABEMACICLIB","DB12001","46220502"
"BiomarkerKG-1304175737","ANASTROZOLE","DB01217"," 2187"
"BiomarkerKG-1304175737","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-1304175737","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-1304175737","PALBOCICLIB","DB09073"," 11478676"
"BiomarkerKG-1304175737","RIBOCICLIB","DB11730"," 44631912"
"BiomarkerKG-1019298398","PACLITAXEL","DB01229","36314"
"BiomarkerKG-1019298398","NAB-PACLITAXEL","NA"," 36314"
"BiomarkerKG-1019298398","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG67951044","CARBOPLATIN","DB00958","56840877"
"BiomarkerKG67951044","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG67951044","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG67951044","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG1857107666","NIRAPARIB","DB11793","24958200"
"BiomarkerKG735236579","CAMRELIZUMAB","DB14776","NA"
"BiomarkerKG735236579","NAB-PACLITAXEL","NA"," 36314"
"BiomarkerKG735236579","FAMITINIB","DB11741"," 16662431"
"BiomarkerKG-800369839","NAB-PACLITAXEL","NA","36314"
"BiomarkerKG-800369839","EPIRUBICIN","DB00445"," 65348"
"BiomarkerKG-800369839","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-835107575","CRIZOTINIB","DB08865","11626560"
"BiomarkerKG-835107575","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-1189924932","PEMBROLIZUMAB","DB09037",\N
"BiomarkerKG-1632658776","PEMBROLIZUMAB","DB09037","NA"
"BiomarkerKG-1632658776","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-1632658776","GEMCITABINE","DB00441"," 60750"
"BiomarkerKG-1632658776","OLAPARIB","DB09074"," 23725625"
"BiomarkerKG358990573","PYROTINIB","DB14993","51039030"
"BiomarkerKG358990573","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG358990573","VINORELBINE","DB00361"," 5311497"
"BiomarkerKG-1876496357","PYROTINIB","DB14993","51039030"
"BiomarkerKG-1876496357","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-1876496357","DOCETAXEL","DB01248"," 148124"
"BiomarkerKG-1876496357","CARBOPLATIN","DB00958"," 56840877"
"BiomarkerKG-33556113","DOCETAXEL","DB01248","148124"
"BiomarkerKG-33556113","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG-33556113","TRASTUZUMAB SC","NA"," NA"
"BiomarkerKG-33556113","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-33556113","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-33556113","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-33556113","HERCEPTIN SC","NA"," NA"
"BiomarkerKG-599028211","TUCATINIB","DB11652","51039094"
"BiomarkerKG-599028211","T-DM1","DB05773"," NA"
"BiomarkerKG1688452319","SPARTALIZUMAB","DB14892","NA"
"BiomarkerKG1688452319","LAG525","NA"," NA"
"BiomarkerKG1688452319","NIR178","NA"," NA"
"BiomarkerKG1688452319","CAPMATINIB","DB11791"," 25145656"
"BiomarkerKG1688452319","MCS110","NA"," NA"
"BiomarkerKG1688452319","CANAKINUMAB","DB06168"," NA"
"BiomarkerKG1378145659","DOCETAXEL","DB01248","148124"
"BiomarkerKG1378145659","EPIRUBICIN","DB00445"," 65348"
"BiomarkerKG1378145659","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG1378145659","HUMAN RECOMBIANT ENOSTATIN","NA"," NA"
"BiomarkerKG-453264115","CARBOPLATIN","DB00958","56840877"
"BiomarkerKG-453264115","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1503610555","BERZOSERTIB","DB11794","59472121"
"BiomarkerKG179888471","OLECLUMAB","DB15088","NA"
"BiomarkerKG179888471","DURVALUMAB","DB11714"," NA"
"BiomarkerKG1995732573","CARBOPLATIN","DB00958","56840877"
"BiomarkerKG1995732573","IPATASERTIB","DB11743"," 24788740"
"BiomarkerKG1995732573","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG1739611934","PALBOCICLIB","DB09073","11478676"
"BiomarkerKG1739611934","ENDOCRINE THERAPY","NA"," NA"
"BiomarkerKG-915701665","CAPIVASERTIB","DB12218","25227436"
"BiomarkerKG-915701665","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-689338926","ALPELISIB","DB12015","56649450"
"BiomarkerKG-689338926","ENZALUTAMIDE","DB08899"," 15951529"
"BiomarkerKG-975392028","IPATASERTIB","DB11743","24788740"
"BiomarkerKG-975392028","RUCAPARIB","DB12332"," 9931954"
"BiomarkerKG2065001521","PERTUZUMAB","DB06366","NA"
"BiomarkerKG2065001521","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG2065001521","COPANLISIB","DB12483"," 135565785"
"BiomarkerKG-170542798","PACLITAXEL","DB01229","36314"
"BiomarkerKG-170542798","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG-743019303","TAMOXIFEN","DB00675","2733526"
"BiomarkerKG-743019303","TALIMOGENE LAHERPAREPVEC","DB13896"," NA"
"BiomarkerKG-743019303","LETROZOLE","DB01006"," 3902"
"BiomarkerKG-743019303","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-743019303","EXEMESTANE","DB00990"," 60198"
"BiomarkerKG-743019303","ANASTROZOLE","DB01217"," 2187"
"BiomarkerKG302277995","COPANLISIB","DB12483","135565785"
"BiomarkerKG302277995","FULVESTRANT","DB00947"," 104741"
"BiomarkerKG-635888986","AVELUMAB","DB11945","NA"
"BiomarkerKG-635888986","BINIMETINIB","DB11967"," 10288191"
"BiomarkerKG-635888986","PF-04518600","NA"," NA"
"BiomarkerKG-635888986","UTOMILUMAB","DB15113"," NA"
"BiomarkerKG-544075815","PYROTINIB","DB14993","51039030"
"BiomarkerKG-544075815","TRASTUZUMAB","DB00072"," 3001322"
"BiomarkerKG-544075815","AROMATASE INHIBITORS","NA"," NA"
"BiomarkerKG-820225238","LEFLUNOMIDE","DB01097","3899"
"BiomarkerKG-10442632","TESETAXEL","DB12019","6918574"
"BiomarkerKG-10442632","NIVOLUMAB","DB09035"," NA"
"BiomarkerKG-10442632","PEMBROLIZUMAB","DB09037"," NA"
"BiomarkerKG-10442632","ATEZOLIZUMAB","DB11595"," NA"
"BiomarkerKG-1944338472","TESETAXEL","DB12019","6918574"
"BiomarkerKG-1575067713","TAMOXIFEN","DB00675","2733526"
"BiomarkerKG-1945881394","CELECOXIB","DB00482","2662"
"BiomarkerKG-1945881394","CYCLOPHOSPHAMIDE","DB00531"," 2907"
"BiomarkerKG-1945881394","DOXORUBICIN","DB00997"," 443939"
"BiomarkerKG-1945881394","DOXORUBICIN HYDROCHLORIDE","NA"," 443939"
"BiomarkerKG-1945881394","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1945881394","RECOMBINANT INTERFERON ALFA-2B","NA"," NA"
"BiomarkerKG-1945881394","RINTATOLIMOD","NA"," 135537060"
"BiomarkerKG-1955995515","ATEZOLIZUMAB","DB11595","NA"
"BiomarkerKG-1955995515","PACLITAXEL","DB01229"," 36314"
"BiomarkerKG-1955995515","PERTUZUMAB","DB06366"," NA"
"BiomarkerKG-1955995515","TRASTUZUMAB","DB00072"," 3001322"
